origen,destino,distancia_metros,tiempo_minutos,nombre_calle
816743722,817071365,55.839256212382395,0.11,Sin nombre
816743722,1960335464,14.887229281824773,0.03,Sin nombre
816743720,816743722,287.6065907147014,0.58,Sin nombre
816743728,817086739,15.91769537610231,0.03,Sin nombre
816743728,816856869,271.43468472985865,0.54,Sin nombre
816743729,1304306393,16.97641618876716,0.03,Sin nombre
816743728,816743729,61.394604528879626,0.12,Sin nombre
816805092,817111191,212.86937601170203,0.43,Sin nombre
816805092,817064428,55.143110645752536,0.11,Sin nombre
816805092,816925088,55.82180140767936,0.11,Sin nombre
816805092,816805100,218.50461650152707,0.44,Sin nombre
816805100,816805198,76.30796114658037,0.15,Sin nombre
816743706,816805166,56.03842477138912,0.11,Sin nombre
816805166,1302759099,133.65704711547392,0.27,Sin nombre
816805179,816805237,13.522061226598604,0.03,Sin nombre
816805100,816805179,55.646350415576194,0.11,Sin nombre
816805179,1302759084,62.01971516574292,0.12,Sin nombre
816805198,1302759105,13.171030970519933,0.03,Sin nombre
816805198,817064352,285.6284132308037,0.57,Sin nombre
816805198,817064314,63.54060705476324,0.13,Sin nombre
816743729,816805237,294.10786330684454,0.59,Sin nombre
816805237,816856869,54.94689352801733,0.11,Sin nombre
816805240,816856876,49.38134219548198,0.1,Sin nombre
816805237,816805240,55.246051371587505,0.11,Sin nombre
816805245,816856887,54.00141276439485,0.11,Sin nombre
816805240,816805245,31.927754509366565,0.06,Sin nombre
816805302,1302759105,210.4156456853649,0.42,Sin nombre
816805302,817071582,77.21050573623951,0.15,Sin nombre
816805422,816805753,55.91672251319436,0.11,Sin nombre
816805422,8040788842,15.891369018484111,0.03,Sin nombre
816805727,816805753,112.21301675590239,0.22,Sin nombre
816805727,818630215,55.45287538715823,0.11,Sin nombre
816805753,1302759084,56.10002924029216,0.11,Sin nombre
816856778,816856785,71.37787790073656,0.14,Sin nombre
816856778,817071582,33.785690732187796,0.07,Sin nombre
816856785,816856790,56.109191898727914,0.11,Sin nombre
816856785,817071329,57.749648191027646,0.12,Sin nombre
816856790,817071318,119.44116778719399,0.24,Sin nombre
816856790,816856795,52.40513592508371,0.1,Sin nombre
816856795,1302759141,20.395668757482035,0.04,Sin nombre
816856795,816856799,116.02361904310527,0.23,Sin nombre
816856795,817071334,54.19263652109038,0.11,Sin nombre
816856799,1955079545,34.41124801583846,0.07,Sin nombre
816856799,817071336,54.701314909663665,0.11,Sin nombre
816856803,817071343,55.69866117297837,0.11,Sin nombre
816856803,816856808,129.20458178238852,0.26,Sin nombre
816856808,817086739,118.23228833947236,0.24,Sin nombre
816856808,817071341,61.30835165487742,0.12,Sin nombre
816856869,1955079545,11.074314893243146,0.02,Sin nombre
816856869,816856876,54.26752752631952,0.11,Sin nombre
816856876,816856887,46.2056510728115,0.09,Sin nombre
816856887,1302759141,51.049544961867824,0.1,Sin nombre
816925088,818630215,38.21631384579532,0.08,Sin nombre
816925088,1302759059,139.55982136287213,0.28,Sin nombre
817064314,817064326,59.8390185474677,0.12,Sin nombre
817064314,817064428,143.75502460123528,0.29,Sin nombre
817064326,817064332,190.71856291616558,0.38,Sin nombre
817064326,817064453,69.16562184610957,0.14,Sin nombre
817064332,817111064,49.848043802368394,0.1,Sin nombre
817064332,817111130,60.07303170848758,0.12,Sin nombre
816856778,817064346,57.46932575693035,0.11,Sin nombre
817064346,817064351,113.00039617376709,0.23,Sin nombre
817064351,817064352,15.46881138703782,0.03,Sin nombre
816805302,817064351,66.69708887599033,0.13,Sin nombre
817064352,817064374,23.472395492304077,0.05,Sin nombre
817064352,817111130,50.495974424609464,0.1,Sin nombre
817064355,817086765,59.46590746622732,0.12,Sin nombre
817064355,817301953,56.376118681422916,0.11,Sin nombre
817064372,817064373,53.531219231354925,0.11,Sin nombre
817064372,817600902,56.10086070128617,0.11,Sin nombre
817064373,817064374,92.700821299437,0.19,Sin nombre
817064373,1302759103,55.76859084903492,0.11,Sin nombre
817064374,817064376,18.57259449630804,0.04,Sin nombre
817064376,817642523,34.15668613182758,0.07,Sin nombre
817064351,817064376,23.465983684312604,0.05,Sin nombre
817064409,817064410,100.82106962807646,0.2,Sin nombre
817064409,1302759062,54.65275904284874,0.11,Sin nombre
817064409,817064452,55.40958124531898,0.11,Sin nombre
817064410,817086763,75.27886280752568,0.15,Sin nombre
817064410,817111054,55.86224196989659,0.11,Sin nombre
817064428,1302759062,153.37019715026338,0.31,Sin nombre
817064452,817064453,155.87805928887767,0.31,Sin nombre
817064452,817111089,166.2695860250419,0.33,Sin nombre
817064453,817111076,144.47603377126293,0.29,Sin nombre
817071317,817340878,66.83510288625553,0.13,Sin nombre
817071317,9276211259,41.54677041191996,0.08,Sin nombre
817071317,817071318,69.59946348215638,0.14,Sin nombre
817071318,817071335,54.07658571702536,0.11,Sin nombre
817071318,817071330,54.33044488705329,0.11,Sin nombre
817071329,817071330,61.80889271369965,0.12,Sin nombre
817071329,817340866,88.52555071793022,0.18,Sin nombre
817071330,817340858,21.95628044505335,0.04,Sin nombre
817071334,817071335,65.76657808750026,0.13,Sin nombre
817071334,817071336,115.64725521978337,0.23,Sin nombre
817071335,817071352,33.04868436316327,0.07,Sin nombre
817071336,817071351,66.59096065327552,0.13,Sin nombre
817071340,1302759131,65.8186217445808,0.13,Sin nombre
817071340,817071341,57.027073894955976,0.11,Sin nombre
817071340,817071343,49.250766696702044,0.1,Sin nombre
817071341,817071366,17.114017538754798,0.03,Sin nombre
817071343,817071344,66.06947143926809,0.13,Sin nombre
817071344,817071351,53.164827502499705,0.11,Sin nombre
817071344,9313439547,11.442850218316012,0.02,Sin nombre
817071344,1302759131,47.56022984272266,0.1,Sin nombre
817071351,817071352,84.3118520676789,0.17,Sin nombre
817071351,817071360,89.20213838758961,0.18,Sin nombre
817071352,817071360,104.43118756770707,0.21,Sin nombre
817071360,9265063222,7.013547412589396,0.01,Sin nombre
817071365,817071366,57.33226448406574,0.11,Sin nombre
817071365,9796110036,5.712390022181064,0.01,Sin nombre
817071366,817071368,55.804714146086994,0.11,Sin nombre
817071368,1302759131,27.143975266079114,0.05,Sin nombre
817071368,8681984237,6.031035212396233,0.01,Sin nombre
817086739,1302759081,15.134587023226377,0.03,Sin nombre
816743722,817086739,119.23501912039775,0.24,Sin nombre
817086763,817086765,56.538007767295476,0.11,Sin nombre
817086763,817111089,54.39929762131122,0.11,Sin nombre
817086765,817111064,189.89899741061947,0.38,Sin nombre
816743729,817086803,19.09823776295434,0.04,Sin nombre
816805166,817086803,57.927340543038085,0.12,Sin nombre
817111054,817111115,160.79207531076815,0.32,Sin nombre
817111064,817111076,52.78292569830063,0.11,Sin nombre
817111076,817111089,136.83183830004265,0.27,Sin nombre
817111115,1302759062,55.306643267243615,0.11,Sin nombre
817111115,817111191,57.92510254928904,0.12,Sin nombre
817064355,817111130,237.3947782246812,0.47,Sin nombre
817111191,817111195,57.44326582104688,0.11,Sin nombre
817111195,1302759059,64.42228155945017,0.13,Sin nombre
499564495,817111195,100.65395326021601,0.2,Sin nombre
499564501,817111198,234.63399779662873,0.47,Sin nombre
817299720,4356666732,8.107923510883468,0.02,Sin nombre
817299720,817299722,58.97862407860944,0.12,Sin nombre
817299722,4356666733,9.114303951392996,0.02,Sin nombre
817299722,817299726,59.28676775367075,0.12,Sin nombre
817299726,4356666734,7.228358085252206,0.01,Sin nombre
817299726,817299741,140.04350501422965,0.28,Sin nombre
817299741,4356666738,6.2686328418632575,0.01,Sin nombre
817299741,817301957,230.11246083061522,0.46,Sin nombre
817299760,817540011,214.51009091351918,0.43,Sin nombre
817299760,817299764,55.985992971258945,0.11,Sin nombre
817299760,4356666734,165.871430298345,0.33,Sin nombre
817299760,817540081,54.139098622101685,0.11,Sin nombre
817299764,817299767,57.43132785567511,0.11,Sin nombre
